2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:50 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,27,1.13
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29552,COLOVIC,David,5,N,N,LP,Liberal,1092,-10.69
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,710,-1.77
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,284,11.92
SA,179,Adelaide,64715,Glynde ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,77,-0.39
SA,179,Adelaide,6871,Goodwood,29106,GUY,Sophie,1,N,N,GRN,The Greens,438,0.54
SA,179,Adelaide,6871,Goodwood,29059,RIVISH,Adrian,2,N,N,FFP,Family First,35,0.02
SA,179,Adelaide,6871,Goodwood,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,58,2.03
SA,179,Adelaide,6871,Goodwood,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,23,0.81
SA,179,Adelaide,6871,Goodwood,29552,COLOVIC,David,5,N,N,LP,Liberal,901,-3.91
SA,179,Adelaide,6871,Goodwood,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,1091,-6.29
SA,179,Adelaide,6871,Goodwood,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,305,10.7
SA,179,Adelaide,6871,Goodwood,999,Informal,Informal,999,N,N,,Informal,67,-0.92
SA,179,Adelaide,6663,Greenacres,29106,GUY,Sophie,1,N,N,GRN,The Greens,120,-1.26
SA,179,Adelaide,6663,Greenacres,29059,RIVISH,Adrian,2,N,N,FFP,Family First,51,-0.64
SA,179,Adelaide,6663,Greenacres,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,23,1.06
SA,179,Adelaide,6663,Greenacres,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,39,1.79
SA,179,Adelaide,6663,Greenacres,29552,COLOVIC,David,5,N,N,LP,Liberal,579,-11.62
SA,179,Adelaide,6663,Greenacres,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,1033,-0.23
SA,179,Adelaide,6663,Greenacres,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,333,15.29
SA,179,Adelaide,6663,Greenacres,999,Informal,Informal,999,N,N,,Informal,125,-1.16
SA,179,Adelaide,6878,Hyde Park,29106,GUY,Sophie,1,N,N,GRN,The Greens,91,0.95
SA,179,Adelaide,6878,Hyde Park,29059,RIVISH,Adrian,2,N,N,FFP,Family First,14,-0.05
SA,179,Adelaide,6878,Hyde Park,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,12,0.86
SA,179,Adelaide,6878,Hyde Park,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,9,0.65
SA,179,Adelaide,6878,Hyde Park,29552,COLOVIC,David,5,N,N,LP,Liberal,890,-2.41
SA,179,Adelaide,6878,Hyde Park,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,258,-6.83
